key,answer,alt
uno - dos - tres - quatro - cinco - seis - siete - ocho - nueve - diez, 1-10,
once - doce - trese - catorce - quince - dieciséis - diecisiete - dieciocho - diecinueve, 11 - 12 - 13 - 14 -15 -16 -17 - 18 - 19,
veinte - veintiuno - veintidós - ..., 20 - 21 - 22 - ...,
treinta - treinta y uno - treinta y dos - ..., 30 - 31 - 32 - ...,
cuarenta ..., 40-,
cincuenta ..., 50-,
sesenta ..., 60-,
setenta ..., 70-, 
ochenta ..., 80-, 
noventa ..., 90-, 
cien, 100,
ciento uno - ciento dos - ... - ciento noventa y nueve, 101 - 102 - ... - 199,
doscientos ..., 200,
trescientos ..., 300,
cuatrocientos ..., 400,
quinientos ..., 500, why?
seiscientos ..., 600,
setecientos ..., 700,
ochocientos ..., 800, 
novecientos ... novecientos noventa y nueve, 900 ... 999,
mil, 1000,
primero - segundo - tercero - ..., first - second - third - ...,
primera - segunda - tercera - ..., first - second - third - ...,
cuarto - quinto - sexto - séptimo - octavo - noveno - décimo, fourth - fifth - sixth - seventh - eighth - ninth - tenth,
undécimo o decimoprimero, 11th,
duodécimo o decimosegundo, 12th,
decimotercero, 13th, 
decimocuarto, 14th,
decimoquinto, 15th,
decimosexto, 16th,
decimoséptimo, 17th,
decimoctavo, 18th,
decimonoveno, 19th,
vigésimo - vigésimo primero - vigésimo segundo - ..., 20th - 21st - 22nd - ...,
trigésimo - trigésimo primero - ..., 30th - 31st - ...,
cuadragésimo - cuadragésimo primero - ..., 40th - 41st - ...,
quincuagésimo - ..., 50th,
sexagésimo - ..., 60th,
septuagésimo - ..., 70th,
octogésimo - ..., 80th,
nonagésimo - ..., 90th,
centésimo - ..., 100th, 
ducentésimo - ..., 200th,
tricentésimo - ..., 300th, 
cuadringentésimo - ..., 400th,
quingentésimo - ..., 500th,
sexecentésimo - ..., 600th,
septingentésimo - ..., 700th,
octingésimo - ..., 800th,
noningentésimo - ..., 900th,
milésimo - ..., 1000th,
dosmilésimo - ..., 2000th,
tresmilésimo - ..., 3000th,
cuatromilésimo - ..., 4000th,
una vez - dos veces - tres veces - ..., one time - two times - three times - ..., 
la primera vez, first time,
la octingésima vez, the 800th time,
la última vez, last time, 
