key,answer,alt,audio
abandonar, to abandon/desert/quit,,verbos/1.mp3
abrir, to open,,verbos/2.mp3
acabar, to finish/end, I just...,verbos/3.mp3
aceptar, to accept, aceptarlo “to accept it”,verbos/4.mp3
acercar, to approach,,verbos/5.mp3
acompañar, to accompany,,verbos/6.mp3
acordar, to agree/remember, “de acuerdo” ok,verbos/7.mp3
actualizar, to update, to make actual,verbos/8.mp3
afectar, to affect/pretend/feign,,verbos/9.mp3
afeitar, to shave, afeitarse todas partes (shave oneself everywhere),verbos/10.mp3
afinar, to tune / to refine,,verbos/11.mp3
agradecer, to thank, agredezco (I thank),verbos/12.mp3
ahogar, to drown/suffocate,,verbos/13.mp3
alquilar/rentar, to rent, “rentar” in latin-america,verbos/14.mp3
alcanzar, to reach/catch/catch up/be enough,,verbos/15.mp3
amar, to love, te amo (I love you),verbos/16.mp3
añadir, to add/increase,,verbos/17.mp3
andar, to walk/go,,verbos/18.mp3
apagar, to go out,,verbos/19.mp3
aparecer, to appear/show up,,verbos/20.mp3
aplicar, to apply,,verbos/21.mp3
apostar, to bet, apuesto (I bet),verbos/22.mp3
aprender, to learn, apprehend, amo aprender,verbos/23.mp3
arrastrar, to drag,,verbos/24.mp3
atacar, to attack,,verbos/25.mp3
atontar, to stun,,verbos/26.mp3
aumentar, to increase/add/augment/rise,,verbos/27.mp3
avanzar, to advance,,verbos/28.mp3
averiguar, to find out,,verbos/29.mp3
ayudar, to help,,verbos/30.mp3
bajar, to go down/decrease/get off,,verbos/31.mp3
beber, to drink,,verbos/32.mp3
buscar, to look for,,verbos/33.mp3
caer, to fall, caigo (I fall),verbos/34.mp3
caber, to fit/be possible/be appropriate,,verbos/35.mp3
cambiar, to change,,verbos/36.mp3
cantar, to sing,,verbos/37.mp3
caminar, to walk,,verbos/38.mp3
cenar, to dine, “cena y cine”,verbos/39.mp3
cerrar, to close/shut, cierro (I close),verbos/40.mp3
citar, to quote/cite, citation!,verbos/41.mp3
cocinar, to cook,,verbos/42.mp3
comenzar, to begin, comienzo (I commence),verbos/43.mp3
comer, to eat,,verbos/44.mp3
componer, to compose, compongo (I compose),verbos/45.mp3
comprar, to buy, compensate, compare money for items,verbos/46.mp3
comunicar, to communicate,,verbos/47.mp3
concentrar, to concentrate,,verbos/48.mp3
conocer, to meet / know oneself, conozco (I know ...),verbos/49.mp3
conseguir, to get/achieve, consigo (I get ...),verbos/50.mp3
considerar, to consider,,verbos/51.mp3
