key,answer,alt,audio_prompt
américa, America, americano,pais/1.mp3
argentina, Argentina,,pais/2.mp3
británico, Britain,,pais/3.mp3
china, China,,pais/4.mp3
cubano, cuban,,pais/5.mp3
españa, Spain,,pais/6.mp3
europa, Europe,,pais/7.mp3
europeos, Europeans,,pais/8.mp3
extranjero, foreigner,,pais/9.mp3
francés, French,,pais/10.mp3
francia, France,,pais/11.mp3
inglaterra, England,,pais/12.mp3
inglés, English,,pais/13.mp3
internacionales, International,,pais/14.mp3
italiano, Italian,,pais/15.mp3
méxico, Mexico,,pais/16.mp3
mexicano, Mexican,,pais/17.mp3
norteamericana, North American,,pais/18.mp3
estadounidense, American (US),,pais/19.mp3
