key,answer,alt,audio_prompt
rato, awhile / a long time,,tiempo/1.mp3
el cumpleaños, birthday,,tiempo/2.mp3
la fecha, date,,tiempo/3.mp3
la madrugada, daybreak,,tiempo/4.mp3
el mediodía, noon,,tiempo/5.mp3
domingo, Sunday,,tiempo/6.mp3
lunes, Monday,,tiempo/7.mp3
martes, Tuesday,,tiempo/8.mp3
miércoles, Wednesday,,tiempo/9.mp3
jueves, Thursday,,tiempo/10.mp3
viernes, Friday,,tiempo/11.mp3
sábado, Saturday,,tiempo/12.mp3
enero, January,,tiempo/13.mp3
febrero, February,,tiempo/14.mp3
marzo, March,,tiempo/15.mp3
abril, April,,tiempo/16.mp3
mayo, May,,tiempo/17.mp3
junio, June,,tiempo/18.mp3
julio, July,,tiempo/19.mp3
agosto, August,,tiempo/20.mp3
septiembre, September,,tiempo/21.mp3
octubre, October,,tiempo/22.mp3
noviembre, November,,tiempo/23.mp3
diciembre, December,,tiempo/24.mp3
el invierno, winter,,tiempo/25.mp3
la primavera, spring,,tiempo/26.mp3
el verano, summer,,tiempo/27.mp3
el otoño, fall/autumn,,tiempo/28.mp3
