key,answer,alt,audio_prompt
i / e / ê,/i/ /ɛ/ /e/,front mouth,pronounce/44.mp3
a / ă / â,/a:/ /a/ /ə/,unrounded mouth,pronounce/45.mp3
ơ / ư,/ə:/ /ɨ/,unrounded mouth,pronounce/46.mp3
u / ô / o,/u/ /o/ /ɔ/,rounded mouth,pronounce/47.mp3
ơ / â,/ə:/ /ə/,unrounded (long/short),pronounce/48.mp3
a / ă,/a:/ /a/,unrounded (long/short),pronounce/49.mp3
nghi / nghe / nghê,,ng + front vowels = ngh,pronounce/50.mp3
ngư / ngơ / nga,,ng + unrounded vowels,pronounce/51.mp3
ngân nga,humming,,pronounce/52.mp3
nga / ngăn,rusian / compartment,unrounded long/short,pronounce/53.mp3
ngu / ngô / ngo,,ng + rounded vowels,pronounce/54.mp3
Nguyễn,,family name,pronounce/55.mp3
xoong / xong,,close mouth on xong,pronounce/56.mp3
ân / tân / nâng,,â is never a final sound,pronounce/57.mp3
con / son / xoong,,open mouth on xoong,pronounce/58.mp3
muốn / mua,,dipthong ending is always a,pronounce/59.mp3
anh / ang,,,pronounce/60.mp3
ách / ác,,,pronounce/61.mp3
ba bo bô bơ be bê bu bư bi,,,pronounce/62.mp3
khom khôm khơm khum khưm,,,pronounce/63.mp3
khán kháng khánh,,,pronounce/64.mp3
dao dau,,/w/,pronounce/65.mp3
ngai ngay,,short long,pronounce/66.mp3
nhi / nghi,,nh/ng + i (ngh),pronounce/72.mp3
nhe / nghe,,nh/ng + e (ngh),pronounce/73.mp3
như / ngư,,nh/ng + ư,pronounce/74.mp3
nhơ / ngơ,,nh/ng + ơ,pronounce/75.mp3
nhân / ngân,,nh/ng + ân,pronounce/76.mp3
nha / nga,,nh/ng + a,pronounce/77.mp3
nhăn / ngăn,,nh/ng + ăn,pronounce/78.mp3
nhu / ngu,,nh/ng + u,pronounce/79.mp3
nhô / ngô,,nh/ng + ô,pronounce/80.mp3
nho / ngo,,nh/ng + o,pronounce/81.mp3
nhê / nghê,,nh/ng + ê (ngh),pronounce/82.mp3
băn / bằn / bắn,,thanh không / huyền / sắc,pronounce/83.mp3
