key,answer,alt,audio_prompt
mẹ em rất thông minh,your mom is so smart,mẹ của bạn rất thông minh,hello/1.mp3
xin chào,hello,,hello/2.mp3
cảm ơn,thank you,,hello/3.mp3
chào buổi sáng,good morning,,hello/4.mp3
vợ tôi lười quá,my wife is so lazy,,hello/5.mp3
bà bầu của tôi,my pregnant wife,,hello/6.mp3
bà bầu ơi,hey pregnant wife,,hello/7.mp3
Ăn thôi,Let’s eat,,hello/8.mp3
Đi thôi,Lets go,,hello/9.mp3
Những Việc Cần Làm,To do list,,hello/10.mp3
Tạm biệt,Goodbye,,hello/11.mp3
chào buổi trưa,Good afternoon,,hello/12.mp3
Chào buổi tối,Good evening,,hello/13.mp3
Rất vui được gặp bạn,Nice to see you,Rất vui được gặp em,hello/14.mp3
Xin vui lòng,Please,,hello/15.mp3
tôi thích điều này,I like this,anh thích điều này,hello/16.mp3
tôi muốn cái đó,I want that,anh muốn cái đó,hello/17.mp3
giáo viên,teacher,,hello/18.mp3
Tôi bị chứng đau nửa đầu,I have a migraine,Anh bị chứng đau nửa đầu,hello/19.mp3
Tiếng việt khó học,Vietnamese is difficult to learn,,hello/20.mp3
