key,answer,alt,audio_prompt
xa,far,/aː/,pronounce/1.mp3
mắt,eye,/a/,pronounce/2.mp3
đất,earth,/ə/,pronounce/3.mp3
xe,vehicle,/ɛ/,pronounce/4.mp3
hên,lucky,/e/,pronounce/5.mp3
hình,image,/i/,pronounce/6.mp3
yêu,love,/i/,pronounce/7.mp3
lo,worried,/ɔ/,pronounce/8.mp3
cô,she,/o/,pronounce/9.mp3
trơn,slippy,/ə:/,pronounce/10.mp3
bún,noodle,/u/,pronounce/11.mp3
mứt,jam,/ɨ/,pronounce/12.mp3
bao,bag,/b/,pronounce/13.mp3
con,child,/k/,pronounce/14.mp3
kính,glass,/k/,pronounce/15.mp3
cho,give,/c/,pronounce/16.mp3
giá,price,/z/ northern,pronounce/17.mp3
dao,knife,/z/ northern,pronounce/18.mp3
đi,go,/d/,pronounce/19.mp3
ghen,jealous,/g/,pronounce/20.mp3
hên,lucky,/h/,pronounce/21.mp3
khói,smoke,/x/,pronounce/22.mp3
lái,drive,/l/,pronounce/23.mp3
mẹ,mum,/m/,pronounce/24.mp3
nền,floor,/n/,pronounce/25.mp3
ngồi,sit,/ŋ/,pronounce/26.mp3
nghe,hear / listen,/ŋ/,pronounce/27.mp3
nhanh,fast,/ɲ/,pronounce/28.mp3
phở,pho,/f/,pronounce/29.mp3
quen,familiar,/kw/ northern,pronounce/30.mp3
rau,vegetable,/r/,pronounce/31.mp3
sen,lotus,/∫/ sh,pronounce/32.mp3
tối,dark,/t/,pronounce/33.mp3
thích,like,/tʰ/,pronounce/34.mp3
trơn,slippy,/ʈʂ/,pronounce/35.mp3
vẽ,draw,/v/,pronounce/36.mp3
xem,watch,/s/,pronounce/37.mp3
