key,answer,alt
啊,"ah, an exclamation",a 
愛,to love / be apt to,ài
矮,"short (of stature ), low",ăi
安靜,"to be quiet, calm, peaceful",ānjìng 
安全,"safety / to be safe, secure",ānquán 
阿姨,"one's mother's sister, auntie",āyí 
吧,"question particle, implying probability / sentence suffix, indicating a request",ba
把,indicating pre-verbal object as thing dealt with by the action,bă
八,eight,bā
爸爸,father,bàba 
百,hundred,băi 
白,white/ to be white,bái  
百貨公司,department store,băihuògōngsī 
半,half,bàn 
搬,to move,bān 
班,Measure word for a group of organized people.,bān 
辦法,"method, way of doing something",bànfă 
棒 ,"good; fine; excellent, great!",bàng 
幫,"to help, to assist",bāng 
幫忙,to help someone do something,bāngmáng 
辦公室,office,bàngōngshì 
棒球,baseball,bàngqiú 
抱,"to hug, to embrace, to hold or carry in one's arms",bào 
飽                 ,to be full (after eating ),băo 
包,"package of, parcel of/ to wrap, to contain",bāo 
報紙,"newspaper, newsprint",bàozhǐ 
包子,steamed pork bun ,bāozi 
被,a passive voice indicator,bèi 
北,north,běi 
杯,A cup of,bēi 
杯子,cup,bēizi 
本,"Individual measure word for books or magazines, etc.",běn 
本子,"book, notebook, edition",běnzi 
比,"to compare; compared to, than",bǐ 
筆,pen,bǐ 
遍,Measure word for the course of an action from the beginning to the end.,biàn
邊,side,biān 
錶,watch,biăo 
別,don't,bié 
別人,other people,biérén 
比較,comparatively; to compare,bǐjiào 
病,"illness, disease",bìng 
餅乾,"biscuit, cracker, cookie",bǐnggān 
病人,patient,bìngrén 
冰箱,refrigerator,bīngxiāng 
必須,must,bìxū 
不,"not, no",bú
不,"not, no",bù
不錯,"to be not bad, pretty good",búcuò 
不但,not only,búdàn 
不好意思,to feel embarrassed; to be ill at ease,bùhăoyìsi 
不客氣,you're welcome,búkèqì 
不一定,"uncertain, not for sure, not necessarily",bùyídìng 
不用,"need not, don't have to",búyòng 
擦,"to rub, to wipe, to clean",cā 
才,"not until, only then , only, merely",cái 
菜,"food, cuisine",cài 
猜,"guess, suspect",cāi 
菜單,menu,càidān 
參加,"to attend, to participate",cānjiā 
餐廳,restaurant,cāntīng 
餐桌,dining table,cānzhuō 
草,grass,căo 
草地,lawn,căodì 
常,"often, usually, generally",cháng 
常常,"often, frequently",chángcháng 
唱歌(兒),sing,chànggē(ér)
吵,"to make a noise, to disturb, to quarrel/ to be noisy",chăo 
超級市場,supermarket,chāojíshìchăng 
成績,"grade (at school), academic record, achievement",chéngjī 
城市,city,chéngshì 
襯衫,a dress shirt or a collared blouse with buttons,chènshān 
吃,to eat,chī 
吃飽,satiate; full,chībăo 
遲到,to be late/ arrive late,chídào 
出,to go or come out,chū  
船,"ship, boat",chuán 
穿,"to wear, to put on",chuān 
床,bed,chuáng 
窗/窗戶,window,chuāng /chuānghù 
廚房,kitchen,chúfáng 
出國,go abroad (from one's own country),chūguó 
吹,"blow, puff, play  (wind instruments)  ",chuī 
出來,to come out,chūlái 
春天,"spring, springtime",chūntiān 
出去,"to go out, to leave",chūqù 
次,Measure word for the number of repetitions in a given period of time,cì 
從,from,cóng 
聰明,to be intelligent,cōngmíng 
從前,"formerly, in the past, used to",cóngqián 
錯,to be wrong/ mistake,cuò 
大,"to be big, to be large",dà 
打,"to hit, to beat, to strike",dă 
帶,to bring,dài 
戴,"to wear (hat,watch, jewelry etc.)",dài 
袋子,"bag, sack",dàizi 
大家,everyone,dàjiā 
打開,to open up,dăkāi 
蛋,egg,dàn 
蛋糕,cake,dàngāo 
當然,of course,dāngrán 
但是,"but, still, however",dànshì 
到,"to reach, to arrive/ to leave for",dào 
倒,"to pour, to dump out",dăo 
刀叉,knife and fork,dāochā 
打掃,"to sweep, to clean",dăsăo 
大聲,loud voice,dàshēng 
打算,to plan,dăsuàn 
大學,university,dàxué 
大衣,"overcoat, topcoat",dàyī 
得,a particle used between a verb or adjective and its complement to indicate manner or degree,de 
的,possessive or modifying particle,de 
德國,"Germany, German",déguó 
等,to wait,děng 
地,"the earth, land, soil, fields, ground, place, position, background, distance",dì 
第,a prefix for ordinal numbers,dì 
低,to be low,dī 
店,"store, shop",diàn 
電,electricity,diàn 
點(兒),Partial measure word for a small quantity of things.,diǎn(ér)
點菜,to order food,diăncài 
電燈,electric lamp / light,diàndēng 
電話,"telephone, call",diànhuà 
電腦,computer,diànnăo 
電視(機),television set,diànshì (jī)
點心,"a snack, light refreshment",diănxīn 
電影,movie,diànyǐng 
電影院,"cinema, movie(house)",diànyǐngyuàn 
點鐘,o'clock,diănzhōng 
掉,"drop, fall, come off, lose,be missing, fall behind, change, turn",diào 
弟弟,younger brother,dìdi 
地方,place,dìfāng 
地上,ground,dìshàng 
地圖,map,dìtú 
動,to move; to be moved,dòng 
懂,to understand,dǒng 
東(邊),east,dōng(biān)
冬天,"winter, wintertime",dōngtiān 
動物,animal,dòngwù 
動物園,zoo,dòngwùyuán 
東西,thing,dōngxī
都,"all, both",dōu 
讀,to read; to go to/ attend school or college,dú 
短,to be short,duăn 
對,"answer, reply, treat",duì 
對不起,I'm sorry; Excuse me,duìbùqǐ 
對面,"the other side, place across from",duìmiàn 
朵,Individual measure word for cloudand flowers,duǒ 
多,"more than the correct, required number, much,far more/ many, much, more",duō 
多少,"how much, how many",duōshăo 
讀書,"to study, to read",dúshū 
肚子,"stomach, belly, abdomen",dùzi 
餓,to be hungry,è 
二,two,èr 
耳朵,ear,ěrduo
兒子,son,érzi 
法國,"France, French",fǎguó
飯,"food, meal",fàn 
飯店,"hotel, restaurant",fàndiàn 
放 ,"to put, to release",fàng 
房(子),house,fáng(zi)
方便,to be convenient,fāngbiàn 
方法,"method, way, means",fāngfă 
放假,"to have a holiday, vacation",fàngjià 
房間,room,fángjiān 
放下,to lay down; to put down; to let sth. down; to lower; to set down,fàngxià 
發生,"to happen, to occur, take place",fāshēng 
發現,to discover,fāxiàn 
飛,to fly,fēi 
非常,"very, extremely",fēicháng 
飛機,airplane,fēijī 
分(鐘),minute,fēn(zhōng)
封,"Measure word for letters, telegrams, etc.",fēng 
